employee_id,project_id,project_role,contribution,start_date,end_date
6b7caa54-6256-45fe-aff1-348f381337da,d88b1690-9eed-4b39-aedc-c912b40c1be1,Lead Backend Developer,Developed REST APIs using FastAPI and PostgreSQL and containerized services using Docker.,2023-03-01,2023-11-30
936fbdc1-749b-49b8-aa18-464519340237,333e2a35-38cc-490b-934d-b8419bfefa38,Automation Test Engineer,Contributed to Multi-Cloud Infrastructure Automation execution.,2023-01-10,2023-10-15
71aefff6-4688-4280-9027-ea1819a7b67c,c32acaa0-a3c1-4867-bf58-4f1b46ce6967,Backend Developer,Contributed to Executive KPI Dashboard & ETL Pipeline execution.,2023-01-10,2023-10-15
cb7f9679-b154-4014-87a4-103446d722ca,c32acaa0-a3c1-4867-bf58-4f1b46ce6967,Security Engineer,Contributed to Executive KPI Dashboard & ETL Pipeline execution.,2023-01-10,2023-10-15
f72d9fd7-f7d3-472b-b1a4-c67528f5400b,333e2a35-38cc-490b-934d-b8419bfefa38,Full Stack Developer,Contributed to Multi-Cloud Infrastructure Automation execution.,2023-01-10,2023-10-15
f72d9fd7-f7d3-472b-b1a4-c67528f5400b,791b2572-0240-4c17-8346-31669043a87b,Full Stack Developer,Contributed to Enterprise Knowledge Search with RAG & Vector DB execution.,2023-01-10,2023-10-15
9904bdac-3b1d-48bc-b6e7-4cf8e69cb6ab,d88b1690-9eed-4b39-aedc-c912b40c1be1,Cybersecurity Analyst,Contributed to High-Throughput Microservice Billing API execution.,2023-01-10,2023-10-15
31bbc0ba-5f76-4ac3-993b-523a71236238,d88b1690-9eed-4b39-aedc-c912b40c1be1,Full Stack Developer,Contributed to High-Throughput Microservice Billing API execution.,2023-01-10,2023-10-15
31bbc0ba-5f76-4ac3-993b-523a71236238,4053e266-b479-4ad6-8fba-b1ce83778d28,Full Stack Developer,Contributed to Cloud Security Monitoring & SIEM Guardrail execution.,2023-01-10,2023-10-15
3b063408-d1c8-4b40-a67e-944326f81538,4053e266-b479-4ad6-8fba-b1ce83778d28,AI Engineer,Contributed to Cloud Security Monitoring & SIEM Guardrail execution.,2023-01-10,2023-10-15
81d15c93-8452-47c9-9f21-faeb216c256d,0eba44c7-0055-405d-9660-c012493be2bf,MLOps Engineer,Contributed to Customer Churn Prediction Platform execution.,2023-01-10,2023-10-15
81d15c93-8452-47c9-9f21-faeb216c256d,5b32654a-2864-416c-b3db-67ff0eca36e3,MLOps Engineer,Contributed to Automated Web & API Regression Suite execution.,2023-01-10,2023-10-15
fd72e86f-d8d2-4e82-98f2-91bd3938f647,5b32654a-2864-416c-b3db-67ff0eca36e3,Data Analyst,Contributed to Automated Web & API Regression Suite execution.,2023-01-10,2023-10-15
fd72e86f-d8d2-4e82-98f2-91bd3938f647,c32acaa0-a3c1-4867-bf58-4f1b46ce6967,Data Analyst,Contributed to Executive KPI Dashboard & ETL Pipeline execution.,2023-01-10,2023-10-15
2771bbb8-4d72-413d-9d6a-32de6eebf13e,0eba44c7-0055-405d-9660-c012493be2bf,Product Analyst,Contributed to Customer Churn Prediction Platform execution.,2023-01-10,2023-10-15
2771bbb8-4d72-413d-9d6a-32de6eebf13e,791b2572-0240-4c17-8346-31669043a87b,Product Analyst,Contributed to Enterprise Knowledge Search with RAG & Vector DB execution.,2023-01-10,2023-10-15
db560e71-ab6b-4dfb-8b84-57bb882816db,f5f44dac-c7a3-4d67-845b-34d0340e1006,Mobile Developer,Contributed to Next-Gen Mobile Self-Service App execution.,2023-01-10,2023-10-15
db560e71-ab6b-4dfb-8b84-57bb882816db,4053e266-b479-4ad6-8fba-b1ce83778d28,Mobile Developer,Contributed to Cloud Security Monitoring & SIEM Guardrail execution.,2023-01-10,2023-10-15
171852eb-6c3c-464f-9754-506908587dc8,d88b1690-9eed-4b39-aedc-c912b40c1be1,Data Engineer,Contributed to High-Throughput Microservice Billing API execution.,2023-01-10,2023-10-15
171852eb-6c3c-464f-9754-506908587dc8,791b2572-0240-4c17-8346-31669043a87b,Data Engineer,Contributed to Enterprise Knowledge Search with RAG & Vector DB execution.,2023-01-10,2023-10-15
34730649-f503-48da-9442-d6b2a94f052d,4053e266-b479-4ad6-8fba-b1ce83778d28,Automation Test Engineer,Contributed to Cloud Security Monitoring & SIEM Guardrail execution.,2023-01-10,2023-10-15
fa69d3e8-89d0-44cc-9615-98bfd7f4bf02,4053e266-b479-4ad6-8fba-b1ce83778d28,Data Engineer,Contributed to Cloud Security Monitoring & SIEM Guardrail execution.,2023-01-10,2023-10-15
fa69d3e8-89d0-44cc-9615-98bfd7f4bf02,f5f44dac-c7a3-4d67-845b-34d0340e1006,Data Engineer,Contributed to Next-Gen Mobile Self-Service App execution.,2023-01-10,2023-10-15
972e0658-b17c-40ed-b2fc-38311c596393,f5f44dac-c7a3-4d67-845b-34d0340e1006,Product Analyst,Contributed to Next-Gen Mobile Self-Service App execution.,2023-01-10,2023-10-15
aefc9ec3-ab09-4fbd-80e8-b363bda255f9,791b2572-0240-4c17-8346-31669043a87b,Machine Learning Engineer,Contributed to Enterprise Knowledge Search with RAG & Vector DB execution.,2023-01-10,2023-10-15
1b5655c3-5382-4630-b0ae-d446a5b2c1bb,f5f44dac-c7a3-4d67-845b-34d0340e1006,Product Analyst,Contributed to Next-Gen Mobile Self-Service App execution.,2023-01-10,2023-10-15
