employee_id,skill_id,proficiency,confidence,source,evidence,is_inferred,verified
6b7caa54-6256-45fe-aff1-348f381337da,4352cf79-2000-4b4c-a3be-724e8a896174,4,0.95,self_reported,Built FastAPI microservices & Python scripts,False,True
6b7caa54-6256-45fe-aff1-348f381337da,899f6441-4496-4d57-8cd5-c588956f561b,4,0.95,project_extracted,Designed REST APIs for core billing engine,False,True
6b7caa54-6256-45fe-aff1-348f381337da,16c46e6c-223b-4521-8b6e-02686312ccaf,3,0.85,self_reported,Wrote complex analytical queries in PostgreSQL,False,True
6b7caa54-6256-45fe-aff1-348f381337da,178a2f9f-6d15-485e-a684-dcab469fb886,3,0.8,project_extracted,Containerized API services for dev/staging,False,True
6b7caa54-6256-45fe-aff1-348f381337da,488fe6e6-6184-4e1a-962c-149b2aac1dc6,4,0.9,self_reported,Version control lead for team repository,False,True
6b7caa54-6256-45fe-aff1-348f381337da,69c4b374-e0f9-4322-916c-fc2aca8c7c53,2,0.6,course_completed,Completed ML Fundamentals online course,True,False
6b7caa54-6256-45fe-aff1-348f381337da,13229b41-a1f2-4d2f-91a3-cb4638ce4cef,4,0.9,peer_review,Consistently solves complex algorithmic bugs,False,True
936fbdc1-749b-49b8-aa18-464519340237,c9e661cd-37bd-4132-a10b-7a766671ffa0,3,0.87,project_extracted,Applied Selenium in enterprise projects at level 3.,True,True
936fbdc1-749b-49b8-aa18-464519340237,cf646dbe-e071-4074-9f36-2e3e93349c85,3,0.8,project_extracted,Applied Test Automation in enterprise projects at level 3.,False,True
936fbdc1-749b-49b8-aa18-464519340237,4352cf79-2000-4b4c-a3be-724e8a896174,3,0.79,manager_verified,Applied Python in enterprise projects at level 3.,False,True
936fbdc1-749b-49b8-aa18-464519340237,95ca2857-397c-4d39-b31b-83c6946fc117,5,0.85,peer_review,Demonstrated strong Time Management in cross-functional work.,False,True
71aefff6-4688-4280-9027-ea1819a7b67c,4352cf79-2000-4b4c-a3be-724e8a896174,4,0.8,self_reported,Applied Python in enterprise projects at level 4.,True,False
71aefff6-4688-4280-9027-ea1819a7b67c,899f6441-4496-4d57-8cd5-c588956f561b,4,0.86,project_extracted,Applied FastAPI in enterprise projects at level 4.,False,True
71aefff6-4688-4280-9027-ea1819a7b67c,5e4a8608-7ef1-43e5-8ee5-a86d5c9242e2,4,0.73,manager_verified,Applied REST API in enterprise projects at level 4.,False,False
71aefff6-4688-4280-9027-ea1819a7b67c,16c46e6c-223b-4521-8b6e-02686312ccaf,4,0.79,self_reported,Applied SQL in enterprise projects at level 4.,False,True
71aefff6-4688-4280-9027-ea1819a7b67c,ac46e3ce-936e-43f1-a213-76616dcd4393,2,0.92,self_reported,Applied PostgreSQL in enterprise projects at level 2.,True,False
71aefff6-4688-4280-9027-ea1819a7b67c,178a2f9f-6d15-485e-a684-dcab469fb886,2,0.8,manager_verified,Applied Docker in enterprise projects at level 2.,False,False
71aefff6-4688-4280-9027-ea1819a7b67c,488fe6e6-6184-4e1a-962c-149b2aac1dc6,3,0.87,self_reported,Applied Git in enterprise projects at level 3.,False,False
71aefff6-4688-4280-9027-ea1819a7b67c,13229b41-a1f2-4d2f-91a3-cb4638ce4cef,3,0.77,self_reported,Applied Problem Solving in enterprise projects at level 3.,False,True
71aefff6-4688-4280-9027-ea1819a7b67c,95ca2857-397c-4d39-b31b-83c6946fc117,5,0.85,peer_review,Demonstrated strong Time Management in cross-functional work.,False,True
cb7f9679-b154-4014-87a4-103446d722ca,118c74f7-930b-487f-8325-08223167ab57,4,0.92,project_extracted,Applied Network Security in enterprise projects at level 4.,True,True
cb7f9679-b154-4014-87a4-103446d722ca,e6e5f73e-69dc-4311-9a45-4c2615602a44,4,0.92,self_reported,Applied Incident Response in enterprise projects at level 4.,True,False
cb7f9679-b154-4014-87a4-103446d722ca,4352cf79-2000-4b4c-a3be-724e8a896174,2,0.94,manager_verified,Applied Python in enterprise projects at level 2.,True,True
cb7f9679-b154-4014-87a4-103446d722ca,e57a355f-4909-42b1-acf3-ae3970d39423,4,0.94,self_reported,Applied Linux in enterprise projects at level 4.,False,False
cb7f9679-b154-4014-87a4-103446d722ca,95ca2857-397c-4d39-b31b-83c6946fc117,5,0.85,peer_review,Demonstrated strong Time Management in cross-functional work.,False,True
