id,employee_id,organization,role_title,description,start_date,end_date
2f22df2b-d79f-49e1-b9a9-6563bc7b785b,6b7caa54-6256-45fe-aff1-348f381337da,NovaTech Solutions,Backend Developer,Developed high-throughput FastAPI REST services and PostgreSQL database models.,2023-01-15,
36481091-8ace-4eb4-ac0b-526851a7131d,6b7caa54-6256-45fe-aff1-348f381337da,CloudSoft Tech,Junior Python Developer,Wrote script automation and database migration utilities.,2021-06-01,2022-12-31
86d591a1-684c-43cb-815e-dce20f699d8f,936fbdc1-749b-49b8-aa18-464519340237,NovaTech Solutions,Automation Test Engineer,Worked as Automation Test Engineer delivering key software solutions.,2023-09-20,
6246b9f5-ed94-4875-8b96-2eaea9f16ea3,71aefff6-4688-4280-9027-ea1819a7b67c,NovaTech Solutions,Backend Developer,Worked as Backend Developer delivering key software solutions.,2023-09-20,
07c8f171-c3ad-4352-95ff-3a18fd03ef96,cb7f9679-b154-4014-87a4-103446d722ca,NovaTech Solutions,Security Engineer,Worked as Security Engineer delivering key software solutions.,2023-09-20,
bf01da25-8522-4361-86d0-0d765b59fc03,f72d9fd7-f7d3-472b-b1a4-c67528f5400b,NovaTech Solutions,Full Stack Developer,Worked as Full Stack Developer delivering key software solutions.,2023-09-20,
2b5acb9b-eae3-4d3b-aa1a-54e1d457b148,9904bdac-3b1d-48bc-b6e7-4cf8e69cb6ab,NovaTech Solutions,Cybersecurity Analyst,Worked as Cybersecurity Analyst delivering key software solutions.,2023-09-20,
16f53e1d-3554-422f-a408-c053b4d62647,31bbc0ba-5f76-4ac3-993b-523a71236238,NovaTech Solutions,Full Stack Developer,Worked as Full Stack Developer delivering key software solutions.,2023-09-20,
e5f67ae7-f8a7-44d6-b020-4841cf4cccea,3b063408-d1c8-4b40-a67e-944326f81538,NovaTech Solutions,AI Engineer,Worked as AI Engineer delivering key software solutions.,2023-09-20,
d3947311-245b-458b-93dc-6ee87dea706b,81d15c93-8452-47c9-9f21-faeb216c256d,NovaTech Solutions,MLOps Engineer,Worked as MLOps Engineer delivering key software solutions.,2023-09-20,
338dc114-a8c2-4df0-8667-c9a082dc8341,fd72e86f-d8d2-4e82-98f2-91bd3938f647,NovaTech Solutions,Data Analyst,Worked as Data Analyst delivering key software solutions.,2023-09-20,
98279a2e-f20b-4884-82fd-e5bffb5a1447,2771bbb8-4d72-413d-9d6a-32de6eebf13e,NovaTech Solutions,Product Analyst,Worked as Product Analyst delivering key software solutions.,2023-09-20,
37ad5e72-a1e7-4d91-aab6-c3edbb1f409d,db560e71-ab6b-4dfb-8b84-57bb882816db,NovaTech Solutions,Mobile Developer,Worked as Mobile Developer delivering key software solutions.,2024-09-19,
94b20a6c-6c4b-42b2-842c-e0c48bfc687d,171852eb-6c3c-464f-9754-506908587dc8,NovaTech Solutions,Data Engineer,Worked as Data Engineer delivering key software solutions.,2023-09-20,
93333c2c-d612-4ceb-b0a1-ebe77dd88c36,34730649-f503-48da-9442-d6b2a94f052d,NovaTech Solutions,Automation Test Engineer,Worked as Automation Test Engineer delivering key software solutions.,2023-09-20,
591f4f4a-ee79-4e15-89ae-427ab4abd164,fa69d3e8-89d0-44cc-9615-98bfd7f4bf02,NovaTech Solutions,Data Engineer,Worked as Data Engineer delivering key software solutions.,2023-09-20,
72e8f208-8755-4f25-805d-f60fef09f3e1,972e0658-b17c-40ed-b2fc-38311c596393,NovaTech Solutions,Product Analyst,Worked as Product Analyst delivering key software solutions.,2023-09-20,
9a23f32e-86c0-40d5-aa12-8854435e1671,aefc9ec3-ab09-4fbd-80e8-b363bda255f9,NovaTech Solutions,Machine Learning Engineer,Worked as Machine Learning Engineer delivering key software solutions.,2023-09-20,
81c83b2d-89ad-4591-83d5-2544cfe2bd69,1b5655c3-5382-4630-b0ae-d446a5b2c1bb,NovaTech Solutions,Product Analyst,Worked as Product Analyst delivering key software solutions.,2023-09-20,
ed4cc51a-8610-4fae-938c-b782d498e822,443e8054-600a-43e4-a79d-eb3b38635c70,NovaTech Solutions,Site Reliability Engineer,Worked as Site Reliability Engineer delivering key software solutions.,2023-09-20,
59875f07-83e7-4d9f-bb24-2dcee798feb2,28ec9785-c207-4879-8fcf-fea15706f472,NovaTech Solutions,Cybersecurity Analyst,Worked as Cybersecurity Analyst delivering key software solutions.,2023-09-20,
c79ca493-e22d-40d3-a8b8-abc7c1962981,2b5097aa-efb4-4be9-8b6c-ed666a26860c,NovaTech Solutions,Product Manager,Worked as Product Manager delivering key software solutions.,2023-09-20,
8d5e71c2-8ac7-434b-b515-564d8f25b14d,e9800012-4d59-468e-aae3-5f4cecdbd09e,NovaTech Solutions,Cloud Security Engineer,Worked as Cloud Security Engineer delivering key software solutions.,2023-09-20,
3f3bc80c-80bd-48e3-bb49-b6bd0f88802f,10cfcf51-44fd-482d-893a-3e1502ac458f,NovaTech Solutions,Business Analyst,Worked as Business Analyst delivering key software solutions.,2023-09-20,
58751edc-9ab2-4fbc-a223-d980d230a62c,a0e0d9ec-5ca1-49a8-82ea-8b5067ac3d31,NovaTech Solutions,QA Engineer,Worked as QA Engineer delivering key software solutions.,2023-09-20,
d34dbb49-b40a-4168-8945-a6372178b8da,a89dce54-d60c-4655-b594-b454945f0748,NovaTech Solutions,Full Stack Developer,Worked as Full Stack Developer delivering key software solutions.,2023-09-20,
bad68094-b1ae-46da-8b38-ed639ca3232c,ad4423b9-25c9-4315-ab1a-4b001dc1aedc,NovaTech Solutions,AI Engineer,Worked as AI Engineer delivering key software solutions.,2023-09-20,
0f555d6f-c9df-44d9-837f-6999e2e8c091,70bd2d91-62d0-45ec-90c6-bc08f8afe956,NovaTech Solutions,Cloud Engineer,Worked as Cloud Engineer delivering key software solutions.,2023-09-20,
26b8a711-fb0c-4aba-b165-cb03c6735ad3,f32fbbce-660a-4f8b-9d76-6abef2a0c3f8,NovaTech Solutions,Business Analyst,Worked as Business Analyst delivering key software solutions.,2023-09-20,
aa9c8775-0c59-42f4-b0a6-c26eaaa38174,7aafb11e-8b52-4941-8d1c-29706027bb1e,NovaTech Solutions,Backend Developer,Worked as Backend Developer delivering key software solutions.,2023-09-20,
743c2c25-e7fe-42a6-a6f4-23c2f16c82bc,14edcebd-81df-44fb-808a-c95961cb71f6,NovaTech Solutions,MLOps Engineer,Worked as MLOps Engineer delivering key software solutions.,2023-09-20,
dd975b84-4275-4546-aa7d-4db4f408afbe,e10c929d-3d21-42f6-b39c-6f809b43f214,NovaTech Solutions,Full Stack Developer,Worked as Full Stack Developer delivering key software solutions.,2023-09-20,
28dd831a-aa52-4ba1-bd02-710aa5eb6781,5a9db32c-53d7-4582-9966-698d72c14860,NovaTech Solutions,AI Engineer,Worked as AI Engineer delivering key software solutions.,2023-09-20,
3ada98b3-c10a-434c-b99e-252b3bd5558d,d6414071-d668-4785-a677-1f7003c03070,NovaTech Solutions,Site Reliability Engineer,Worked as Site Reliability Engineer delivering key software solutions.,2023-09-20,
50627cbc-d951-4930-a7ab-7574e60376cc,2149d0ee-0b68-439f-a757-ac04ff9a5454,NovaTech Solutions,Data Scientist,Worked as Data Scientist delivering key software solutions.,2023-09-20,
47249319-898a-4e52-a7d7-0e16bfb91e5c,376f790b-e9cf-4987-af09-2ba3e553527c,NovaTech Solutions,Backend Developer,Worked as Backend Developer delivering key software solutions.,2023-09-20,
39ff3225-16d4-4977-af88-23d1373e2797,da36736f-758d-47f2-8b5f-f41be4f5b1cc,NovaTech Solutions,AI Engineer,Worked as AI Engineer delivering key software solutions.,2023-09-20,
5c20311d-e0af-45ae-8356-b2b08df51072,0a107801-27d7-4221-863d-61900317b6f9,NovaTech Solutions,Cloud Security Engineer,Worked as Cloud Security Engineer delivering key software solutions.,2023-09-20,
99392c30-066a-48a1-8516-4d3fdccafe81,0b58d113-b3d5-454a-b54e-d2e80798b717,NovaTech Solutions,Cybersecurity Analyst,Worked as Cybersecurity Analyst delivering key software solutions.,2024-09-19,
7c4d30be-ffdc-4e46-b4c7-b09e44936971,6bc14927-5f65-4650-9fef-871c381b7c11,NovaTech Solutions,Cloud Security Engineer,Worked as Cloud Security Engineer delivering key software solutions.,2023-09-20,
702fa727-c50d-431e-aec2-2a0b1cce5d76,20eb45ec-67d7-465f-80c1-6421f8b89faf,NovaTech Solutions,AI Engineer,Worked as AI Engineer delivering key software solutions.,2023-09-20,
2116e4d2-7232-474d-a115-98268973b3d1,d99e7fa8-2109-4f28-9bb0-49f9bc6c82ee,NovaTech Solutions,Product Analyst,Worked as Product Analyst delivering key software solutions.,2023-09-20,
3a8eee11-6986-4537-a9f3-6396d6c9eadb,d5aaa610-3409-4472-875b-ca6fd19ef791,NovaTech Solutions,Automation Test Engineer,Worked as Automation Test Engineer delivering key software solutions.,2023-09-20,
f8ceb2d0-023a-4ef0-9a24-9a06e2189f97,8c36cfa8-84cc-4c0a-87e0-ceda9b35c835,NovaTech Solutions,Mobile Developer,Worked as Mobile Developer delivering key software solutions.,2023-09-20,
cb683de7-e0f7-44f7-b2d3-0661c17bcfc5,e30e9971-5c08-432d-bc5f-8c4c2765dedd,NovaTech Solutions,Automation Test Engineer,Worked as Automation Test Engineer delivering key software solutions.,2023-09-20,
